Species,Cluster,IndVal,Specificity,Fidelity,pvalue,pvalue_adj,indval_zscore,relative_strength,cutoff
species_Sciurus griseus,1,4.268279789088555,0.859762587620282,0.04964486534477656,0.001,0.0011583011583011585,2.1573285749173685,strong,0.6
species_Toxicodendron diversilobum,1,3.8242591275208,0.916466070347006,0.04172832198875407,0.001,0.0011583011583011585,1.772707447407446,strong,0.6
species_Calochortus albus,1,3.6749426490429578,0.9934104968892924,0.03699319325244155,0.001,0.0011583011583011585,1.6433660061664395,strong,0.6
species_Heteromeles arbutifolia,1,3.658282502998242,0.9869330600903041,0.037067179638946436,0.001,0.0011583011583011585,1.62893459630012,strong,0.6
species_Calochortus monophyllus,1,3.6427720868540012,0.7574724234756721,0.04809115122817401,0.001,0.0011583011583011585,1.615499109481821,strong,0.6
species_Sceloporus occidentalis,1,3.5480955012806277,0.6109052075835537,0.05807931340633323,0.001,0.0011583011583011585,1.533488027016768,strong,0.6
species_Dipterostemon capitatus,1,3.459410252045119,0.9079104653716862,0.038102989050014795,0.001,0.0011583011583011585,1.4566667808296583,strong,0.6
species_Odocoileus hemionus,1,5.898089168184607,0.6665623488509645,0.08848518339434966,0.001,0.0011450381679389313,3.587355215983672,strong,0.7
species_Aesculus californica,1,4.244373694188726,0.9737844369377209,0.04358637839331353,0.001,0.0011450381679389313,2.1520728988983193,strong,0.7
species_Melanerpes formicivorus,1,4.22756070359865,0.9474055155727193,0.04462250466256821,0.001,0.0011450381679389313,2.137480674013981,strong,0.7
species_Sciurus griseus,1,4.069980155246685,0.8601620833212592,0.04731643296263038,0.001,0.0011450381679389313,2.0007143571217005,strong,0.7
species_Calochortus monophyllus,1,3.7408080904907837,0.7803411920177965,0.047938108724183186,0.001,0.0011450381679389313,1.7150214122035372,strong,0.7
species_Toxicodendron diversilobum,1,3.689906810876766,0.9258020953390458,0.03985632382399668,0.001,0.0011450381679389313,1.6708434942389148,strong,0.7
species_Sceloporus occidentalis,1,3.507706532691666,0.6118200900455091,0.05733232023209228,0.001,0.0011450381679389313,1.5127093765147692,strong,0.7
species_Heteromeles arbutifolia,1,3.4490920767782565,0.9907243253079131,0.03481384264695724,0.001,0.0011450381679389313,1.461837087163315,strong,0.7
species_Calochortus albus,1,3.427874005566748,0.9925066395717962,0.03453754230848933,0.001,0.0011450381679389313,1.4434216324545617,strong,0.7
species_Dipterostemon capitatus,1,3.335615659511896,0.9163132429365032,0.03640256959314775,0.001,0.0011450381679389313,1.3633493499015592,strong,0.7
species_Odocoileus hemionus,1,5.716261623895047,0.6647013516558999,0.08599744245524296,0.001,0.0011278195488721805,3.3969871849420206,strong,0.8
species_Melanerpes formicivorus,1,4.0701055087440015,0.9630325288465383,0.042263427109974425,0.001,0.0011278195488721805,1.9828338137638677,strong,0.8
species_Aesculus californica,1,4.003141694907051,0.9813344217609135,0.040792838874680305,0.001,0.0011278195488721805,1.925307615481161,strong,0.8
species_Sciurus griseus,1,3.966474313686247,0.873741665719055,0.04539641943734015,0.001,0.0011278195488721805,1.893807990209644,strong,0.8
species_Calochortus monophyllus,1,3.8695443461369123,0.8123446117259236,0.047634271099744246,0.001,0.0011278195488721805,1.8105389496147282,strong,0.8
species_Sceloporus occidentalis,1,3.5923950333120405,0.6249728400556208,0.05748081841432225,0.001,0.0011278195488721805,1.5724499667754315,strong,0.8
species_Toxicodendron diversilobum,1,3.5596309077356274,0.9404160033274529,0.037851662404092073,0.001,0.0011278195488721805,1.544303487707535,strong,0.8
species_Dipterostemon capitatus,1,3.329623493276255,0.9468238442698296,0.03516624040920716,0.001,0.0011278195488721805,1.3467124101906576,strong,0.8
species_Arctostaphylos viscida,1,3.2812688101467584,0.855317403178255,0.03836317135549872,0.001,0.0011278195488721805,1.3051726452008985,strong,0.8
species_Heteromeles arbutifolia,1,3.241043447826412,0.9978330614961629,0.03248081841432225,0.001,0.0011278195488721805,1.2706164866393752,strong,0.8
species_Odocoileus hemionus,1,5.195782979138726,0.6426990006000538,0.08084317813296271,0.001,0.0011538461538461537,2.8274929333184837,strong,0.9
species_Calochortus monophyllus,1,4.216187021563593,0.8846308321793453,0.04766041232337271,0.001,0.0011538461538461537,2.018888457157538,strong,0.9
species_Melanerpes formicivorus,1,3.7582643016255264,0.9700703731011897,0.03874218207088256,0.001,0.0011538461538461537,1.6408975536484076,strong,0.9
species_Aesculus californica,1,3.6764442506425308,0.9873225399703768,0.03723650683344915,0.001,0.0011538461538461537,1.5733594437236404,strong,0.9
species_Sciurus griseus,1,3.6571064368012296,0.8710470889749466,0.04198517488996989,0.001,0.0011538461538461537,1.557397104648712,strong,0.9
species_Sceloporus occidentalis,1,3.3581137060359234,0.6110422284070425,0.0549571461663192,0.001,0.0011538461538461537,1.3105944728423553,strong,0.9
species_Toxicodendron diversilobum,1,3.317866795159773,0.9501314066139132,0.03492008339124392,0.001,0.0011538461538461537,1.2773727838036786,strong,0.9
species_Arctostaphylos viscida,1,3.201354445474409,0.8788710423601287,0.03642575862867732,0.001,0.0011538461538461537,1.1811980224083523,strong,0.9
species_Dipterostemon capitatus,1,3.07952648011554,0.9529975494379059,0.03231410701876303,0.001,0.0011538461538461537,1.0806355023724257,strong,0.9
species_Heteromeles arbutifolia,1,2.9339105362373283,0.9972985657430352,0.029418577716006485,0.001,0.0011538461538461537,0.9604372684885415,above_average,0.9
species_Odocoileus hemionus,1,4.720656914628887,0.6170737449798513,0.07650069303763728,0.001,0.0011627906976744186,2.31903252646265,strong,0.95
species_Calochortus monophyllus,1,4.373682635424889,0.9430061939689662,0.046380211109926434,0.001,0.0011627906976744186,2.045013518376562,strong,0.95
species_Sciurus griseus,1,3.533050971864218,0.8871883551570147,0.03982300884955752,0.001,0.0011627906976744186,1.3811341808559185,strong,0.95
species_Melanerpes formicivorus,1,3.491019213652677,0.9730243448691962,0.035878025375839645,0.001,0.0011627906976744186,1.347940075749156,strong,0.95
species_Chamaebatia foliolosa,1,3.401498567796233,0.7650516802724429,0.044461029960550166,0.001,0.0011627906976744186,1.2772421593586833,strong,0.95
species_Aesculus californica,1,3.374461651977245,0.9844191550200492,0.03427870775135942,0.001,0.0011627906976744186,1.255890061239415,strong,0.95
species_Arctostaphylos viscida,1,3.2251689667728436,0.9194182291599544,0.03507836656359953,0.001,0.0011627906976744186,1.1379878535943153,strong,0.95
species_Quercus kelloggii,1,3.2002515756912557,0.7294084940074917,0.043874613498240754,0.001,0.0011627906976744186,1.1183096261362635,strong,0.95
species_Sceloporus occidentalis,1,3.1533024423781133,0.5962666049811356,0.052884102782812664,0.001,0.0011627906976744186,1.081232079724228,strong,0.95
species_Toxicodendron diversilobum,1,3.1407427680127484,0.9626479222611625,0.03262607953939652,0.001,0.0011627906976744186,1.071313219111917,strong,0.95
species_Odocoileus hemionus,1,4.444479376505592,0.611199457114942,0.07271733187534171,0.001,0.0012096774193548388,1.9102012604438003,strong,0.99
species_Chamaebatia foliolosa,1,3.985424552414296,0.9168983026875154,0.04346637506834336,0.001,0.0012096774193548388,1.5779029609553394,strong,0.99
species_Calochortus monophyllus,1,3.9695214637914114,0.9756221398353179,0.040687078549298344,0.001,0.0012096774193548388,1.5663911130699375,strong,0.99
species_Quercus kelloggii,1,3.621820302041747,0.8447578319788763,0.04287406597412065,0.001,0.0012096774193548388,1.3146989431678147,strong,0.99
species_Sciurus griseus,1,3.1928517994861996,0.9053838668620556,0.035265172225259704,0.001,0.0012096774193548388,1.0041793789404039,strong,0.99
species_Arctostaphylos viscida,1,3.018004045276304,0.9684086664579579,0.03116457080371788,0.001,0.0012096774193548388,0.8776114651659708,above_average,0.99
species_Melanerpes formicivorus,1,3.014707871173613,0.9759116276772632,0.03089119737561509,0.001,0.0012096774193548388,0.8752254472185277,above_average,0.99
species_Sceloporus occidentalis,1,3.010411673001614,0.5931105511583431,0.05075633315108438,0.001,0.0012096774193548388,0.8721155368725322,above_average,0.99
species_Aesculus californica,1,2.888796279379351,0.9829969106948526,0.029387643521049753,0.001,0.0012096774193548388,0.7840811968080421,above_average,0.99
species_Toxicodendron diversilobum,1,2.767270099830778,0.978036137698646,0.0282941498086386,0.001,0.0012096774193548388,0.6961114365789485,above_average,0.99
